VDD_GPU_SOC,VDD_CPU_CV,VIN_SYS_5V0,VDDQ_VDD2_1V8AO,total
5154.0,2377.0,4830.0,805.0,13166.0
5154.0,2774.0,5032.0,905.0,13865.0
5154.0,1981.0,4629.0,603.0,12367.0
4757.0,1981.0,4528.0,503.0,11769.0
5154.0,1981.0,4528.0,503.0,12166.0
5154.0,1981.0,4629.0,603.0,12367.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,2774.0,4931.0,905.0,13764.0
5154.0,2774.0,4931.0,805.0,13664.0
5154.0,2377.0,4730.0,704.0,12965.0
5154.0,1981.0,4528.0,503.0,12166.0
4757.0,1981.0,4528.0,503.0,11769.0
5154.0,1981.0,4528.0,503.0,12166.0
5154.0,1981.0,4730.0,603.0,12468.0
5156.0,2378.0,4830.0,805.0,13169.0
5154.0,2774.0,4931.0,805.0,13664.0
5154.0,2377.0,4830.0,805.0,13166.0
4757.0,1585.0,4428.0,402.0,11172.0
5156.0,1982.0,4629.0,603.0,12370.0
5156.0,2378.0,4730.0,704.0,12968.0
5156.0,2377.0,4931.0,805.0,13269.0
5154.0,2377.0,4830.0,805.0,13166.0
4757.0,1981.0,4428.0,402.0,11568.0
5156.0,1982.0,4629.0,603.0,12370.0
5156.0,2378.0,4730.0,704.0,12968.0
5156.0,2378.0,4830.0,805.0,13169.0
5156.0,2378.0,4730.0,704.0,12968.0
5156.0,2378.0,4730.0,603.0,12867.0
5154.0,2377.0,4730.0,704.0,12965.0
